 CODIGO ; NOMBRE RECETA ;; INGREDIENTES ; PROVEEDOR ; CANT ; Unid ; C.U. ; Total x 100 ; C x P ;TIPO INGREDIENTE;TIPO DE RECETA
;  CONO DALMATA-helado ;; Helado de Miel  ; Heca ; 6,000 ; lt ; 4.400 ; 26.400 ; 264 ;Helados;POSTRES
;  CONO DALMATA-magdalena ;; Mantequilla ; Cabezas y cia ; 0,870 ; kg ; 8.391 ; 7.300 ; 74 ;Lácteos;POSTRES
;  CONO DALMATA-magdalena ;; chocolate negro ; Delicias y mas SpA ; 2,200 ; kg ; 5.200 ; 11.440 ; 115 ;Abarrotes;POSTRES
;  CONO DALMATA-magdalena ;; Azúcar ; Delicias y mas SpA ; 0,580 ; kg ; 1.300 ; 754 ; 8 ;Abarrotes;POSTRES
;  CONO DALMATA-magdalena ;; huevos ; MIGUEL FARIAS ; 58,000 ; c/u ; 240 ; 13.920 ; 140 ;Frutas/Verduras;POSTRES
;  CONO DALMATA-magdalena ;; harina ; Delicias y mas SpA ; 0,150 ; kg ; 1.300 ; 195 ; 2 ;Abarrotes;POSTRES
;  CONO DALMATA-magdalena ;; Cacao en polvo ; Miguel Farias ; 0,290 ; kg ; 6.200 ; 1.798 ; 18 ;Abarrotes;POSTRES
;  CONO DALMATA-magdalena ;; Polvo de hornear ; cambiar ; 0,030 ; kg ; 4.529 ; 136 ; 2 ;Abarrotes;POSTRES
;  CONO DALMATA-MARQUISE ;; Mantequilla ; Cabezas y cia ; 0,740 ; kg ; 8.391 ; 6.209 ; 63 ;Lácteos;POSTRES
;  CONO DALMATA-MARQUISE ;; chocolate negro ; Delicias y mas SpA ; 0,850 ; kg ; 5.200 ; 4.420 ; 45 ;Abarrotes;POSTRES
;  CONO DALMATA-MARQUISE ;; azúcar ; Delicias y mas SpA ; 0,340 ; kg ; 1.300 ; 442 ; 5 ;Abarrotes;POSTRES
;  CONO DALMATA-MARQUISE ;; Huevos ; MIGUEL FARIAS ; 6,000 ; c/u ; 240 ; 1.440 ; 15 ;Frutas/Verduras;POSTRES
;  CONO DALMATA-MARQUISE ;; Cacao en polvo ; Miguel Farias ; 0,150 ; kg ; 6.200 ; 930 ; 10 ;Abarrotes;POSTRES
;  CONO DALMATA-MARQUISE ;; Crema ; Cabezas y cia ; 1,500 ; lt ; 3.721 ; 5.582 ; 56 ;Lácteos;POSTRES
;  CONO DALMATA-MARQUISE ;; colapez ; Chile Distribución ; 25,000 ; hojas ; 79 ; 1.975 ; 20 ;Abarrotes;POSTRES
;  CONO DALMATA-MARQUISE ;; Escencia de almendras ; Gudland ; 0,020 ; unid ; 2.227 ; 45 ; 1 ;Abarrotes;POSTRES
;  CONO DALMATA-Palo de Caramelo ;; Azúcar Iansa ; Fruton ; 1,500 ; kg ; 1.300 ; 1.950 ; 20 ;Abarrotes;POSTRES
;  CONO DALMATA-Palo de Caramelo ;; Bolsa prepicada grande ; Abraham Vilches ; 0,050 ; kg ; 2.652 ; 133 ; 2 ;Abarrotes;POSTRES
;  CONO DALMATA-Palo de Caramelo ;; aceite ; Fruton ; 0,030 ; lt ; 3.450 ; 104 ; 2 ;Abarrotes;POSTRES
;  CONO DALMATA-Parfait de nuez ;; Huevos ; MIGUEL FARIAS ; 10,000 ; c/u ; 240 ; 2.400 ; 24 ;Frutas/Verduras;POSTRES
;  CONO DALMATA-Parfait de nuez ;; azúcar ; Delicias y mas SpA ; 0,400 ; kg ; 1.300 ; 520 ; 6 ;Abarrotes;POSTRES
;  CONO DALMATA-Parfait de nuez ;; colapez ; Chile Distribución ; 15,000 ; hojas ; 79 ; 1.185 ; 12 ;Abarrotes;POSTRES
;  CONO DALMATA-Parfait de nuez ;; Crema ; Cabezas y cia ; 1,700 ; lt ; 3.721 ; 6.326 ; 64 ;Lácteos;POSTRES
;  CONO DALMATA-Parfait de nuez ;; Azúcar ; Delicias y mas SpA ; 0,250 ; kg ; 1.300 ; 325 ; 4 ;Abarrotes;POSTRES
;  CONO DALMATA-Parfait de nuez ;; NUEZ PARTIDA ; MIGUEL FARIAS ; 0,300 ; kg ; 8.900 ; 2.670 ; 27 ;Abarrotes;POSTRES
;  CONO DALMATA-Parfait de nuez ;; Crema ; Cabezas y cia ; 0,233 ; lt ; 3.721 ; 865 ; 9 ;Lácteos;POSTRES
;  CONO DALMATA-salsa blanca ;; leche ; Cabezas y cia ; 0,300 ; lt ; 999 ; 300 ; 3 ;Lácteos;POSTRES
;  CONO DALMATA-salsa blanca ;; azúcar ; Delicias y mas SpA ; 0,100 ; kg ; 1.300 ; 130 ; 2 ;Abarrotes;POSTRES
;  CONO DALMATA-salsa blanca ;; Chocolate blanco ; Delicias y mas SpA ; 0,500 ; kg ; 5.200 ; 2.600 ; 26 ;Abarrotes;POSTRES
;  CONO DALMATA-salsa blanca ;; crema ; Cabezas y cia ; 0,700 ; lt ; 3.721 ; 2.605 ; 27 ;Lácteos;POSTRES
;  CONO DALMATA-salsa negra ;; azúcar ; Delicias y mas SpA ; 0,200 ; kg ; 1.300 ; 260 ; 3 ;Abarrotes;POSTRES
;  CONO DALMATA-salsa negra ;; Cacao en polvo ; Miguel Farias ; 0,080 ; kg ; 6.200 ; 496 ; 5 ;Abarrotes;POSTRES
;  CONO DALMATA-salsa negra ;; Mantequilla ; Cabezas y cia ; 0,080 ; kg ; 8.391 ; 671 ; 7 ;Lácteos;POSTRES
;  CONO DALMATA-salsa negra ;; Crema ; Cabezas y cia ; 0,700 ; lt ; 3.721 ; 2.605 ; 27 ;Lácteos;POSTRES
;  CONO DALMATA-salsa negra ;; chocolate negro ; Delicias y mas SpA ; 0,400 ; kg ; 5.200 ; 2.080 ; 21 ;Abarrotes;POSTRES
;  CONO DALMATA-tuil escalera ;; Azúcar Iansa ; Fruton ; 0,555 ; kg ; 1.300 ; 722 ; 8 ;Abarrotes;POSTRES
;  CONO DALMATA-tuil escalera ;; harina ; Delicias y mas SpA ; 0,166 ; kg ; 1.300 ; 216 ; 3 ;Abarrotes;POSTRES
;  CONO DALMATA-tuil escalera ;; Jugo de naranja Watts 1,5 lt ; CCU ; 0,090 ; botella ; 2.000 ; 180 ; 2 ;Bebidas;POSTRES
;  CONO DALMATA-tuil escalera ;; Mantequilla ; Cabezas y cia ; 0,197 ; kg ; 8.391 ; 1.653 ; 17 ;Lácteos;POSTRES
;  MINI SANDWICH-Buffalo blue ;; lomo liso vacuno ; Delicias y mas SpA ; 2,200 ; kg ; 8.998 ; 19.796 ; 198 ;Carnes;SANDWICHES Y WRAPS
;  MINI SANDWICH-Buffalo blue ;; queso roquefort ; Fruton ; 0,500 ; kg ; 29.800 ; 14.900 ; 149 ;Lácteos;SANDWICHES Y WRAPS
;  MINI SANDWICH-Buffalo blue ;; Mayonesa hellmanns  ; MIGUEL FARIAS ; 0,600 ; kg ; 3.650 ; 2.190 ; 22 ;Abarrotes;SANDWICHES Y WRAPS
;  MINI SANDWICH-Buffalo blue ;; Mostaza Dijon ; Delicias y mas SpA ; 0,600 ; kg ; 6.715 ; 4.029 ; 41 ;Abarrotes;SANDWICHES Y WRAPS
;  MINI SANDWICH-Buffalo blue ;; Queso crema ; Delicias y mas SpA ; 0,500 ; kg ; 6.961 ; 3.481 ; 35 ;Lácteos;SANDWICHES Y WRAPS
;  MINI SANDWICH-Buffalo blue ;; Berros ; Comercial Johnson ; 0,400 ; kg ; 10.490 ; 4.196 ; 42 ;Frutas/Verduras;SANDWICHES Y WRAPS
;  MINI SANDWICH-Buffalo blue ;; Nuez partida ; MIGUEL FARIAS ; 0,300 ; kg ; 8.900 ; 2.670 ; 27 ;Abarrotes;SANDWICHES Y WRAPS
;  MINI SANDWICH-Buffalo blue ;; azúcar ; Delicias y mas SpA ; 0,200 ; kg ; 1.300 ; 260 ; 3 ;Abarrotes;SANDWICHES Y WRAPS
;  MINI SANDWICH-Buffalo blue ;; ají cacho de cabra ; Fruton ; 0,050 ; kg ; 12.900 ; 645 ; 7 ;Abarrotes;SANDWICHES Y WRAPS
;  MINI SANDWICH-Buffalo blue ;; Aceite de oliva ; Arasil ; 0,500 ; lt ; 5.782 ; 2.891 ; 29 ;Abarrotes;SANDWICHES Y WRAPS
;  MINI SANDWICH-Buffalo blue ;; Pan Ciabatta media ; Deli Meals ; 25,000 ; c/u ; 49 ; 1.219 ; 13 ;Pan;SANDWICHES Y WRAPS
;  PO-CONO DALMATA-cono blanco con puntitos ;; chocolate negro ; Delicias y mas SpA ; 1,000 ; kg ; 5.200 ; 5.200 ; 52 ;Abarrotes;POSTRES
;  PO-CONO DALMATA-cono blanco con puntitos ;; chocolate blanco ; Delicias y mas SpA ; 2,000 ; kg ; 5.200 ; 10.400 ; 104 ;Abarrotes;POSTRES
 9 ; (espárragos, alcachofas y tomates cherry) ;; Espárragos congelados ; Congefruits ; 7,500 ; kg ; 3.700 ; 27.750 ; 278 ;Frutas/Verduras;FONDO
 9 ; (espárragos, alcachofas y tomates cherry) ;; Mantequilla ; Cabezas y cia ; 0,500 ; kg ; 8.391 ; 4.196 ; 42 ;Lácteos;FONDO
 9 ; (espárragos, alcachofas y tomates cherry) ;; Alcachofa fondo ; Miguel Farias ; 6,250 ; kg ; 6.090 ; 38.063 ; 381 ;Abarrotes;FONDO
 9 ; (espárragos, alcachofas y tomates cherry) ;; Aceite de oliva ; Arasil ; 0,100 ; lt ; 5.782 ; 578 ; 6 ;Abarrotes;FONDO
 9 ; (espárragos, alcachofas y tomates cherry) ;; Tomillo fresco ; Fruton ; 2,000 ; atado ; 1.390 ; 2.780 ; 28 ;Abarrotes;FONDO
 9 ; (espárragos, alcachofas y tomates cherry) ;; tomate cherry ; Fruton ; 1,200 ; kg ; 1.980 ; 2.376 ; 24 ;Frutas/Verduras;FONDO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; toalla de papel rollo ; Coesmo ; 20,00 ; c/u ; 6.040 ; 120.800 ; 1.208 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; Papel higienico rollo ; coesmo ; 16,00 ; rollo ; 3.385 ; 54.160 ; 542 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; guante desechable s ;  Chile Distribución  ; 2,00 ; caja ; 8.100 ; 16.200 ; 162 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; Alusa plast ; Abraham Vilches ; 2,00 ; c/u ; 7.100 ; 14.200 ; 142 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; alusa foil ; Abraham Vilches ; 0,50 ; c/u ; 9.000 ; 4.500 ; 45 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; Bolsa de basura ; Abraham Vilches ; 23,00 ; c/u ; 195 ; 4.485 ; 45 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; Caja de torta ; Delicias y mas SpA ; 4,00 ; c/u ; 1.100 ; 4.400 ; 44 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; guante desechable m ;  Chile Distribución  ; 0,50 ; caja ; 8.100 ; 4.050 ; 41 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; guante desechable L ;  Chile Distribución  ; 0,50 ; caja ; 8.100 ; 4.050 ; 41 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; Vasos desechables transparentes ; Delicias y mas SpA ; 90,00 ; c/u ; 41 ; 3.690 ; 37 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; Gorro desechable ; Delicias y mas SpA ; 1,00 ; pqte ; 1.947 ; 1.947 ; 20 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; Pechera plastica ; Algarrobal ; 1,00 ; c/u ; 1.581 ; 1.581 ; 16 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; Bolsa de basura negra ; Abraham Vilches ; 4,00 ; c/u ; 352 ; 1.408 ; 15 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; Trapero ; Chile Distribución ; 1,50 ; c/u ; 950 ; 1.425 ; 15 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; Escobillón ; Algarrobal ; 0,50 ; c/u ; 2.165 ; 1.083 ; 11 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; Detergente loza ; New Chem ; 1,50 ; lt ; 700 ; 1.050 ; 11 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; Virutilla de olla fina ; Chile Distribución ; 5,00 ; c/u ; 174 ; 870 ; 9 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; virutilla antiadherente ; Comercial San Joaquin ; 1,00 ; c/u ; 851 ; 851 ; 9 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; spongi ; Chile Distribución ; 2,00 ; c/u ; 276 ; 552 ; 6 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; Pechera plástica desechable ; Algarrobal ; 0,50 ; c/u ; 930 ; 465 ; 5 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; Pala plasticas ; Chile Distribución ; 0,50 ; c/u ; 899 ; 450 ; 5 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; Bolsa prepicada grande ; Abraham Vilches ; 0,15 ; kg ; 2.652 ; 23.440 ; 235 ;Abarrotes;ARTICULOS ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; virutilla de olla gruesa ; Chile Distribución ; 1,50 ; c/u ; 140 ; 210 ; 3 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; cloro ; Algarrobal ; 0,25 ; botella ; 760 ; 190 ; 2 ;Abarrotes;ARTICULO ASEO
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ;; Mascarilla ; Chile Distribución ; 0,05 ; caja ; 2.190 ; 110 ; 2 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; bolsa de basura ; Abraham Vilches ; 8,00 ; c/u ; 195 ; 1.560 ; 16 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; guante desechable s ;  Chile Distribución  ; 1,50 ; caja ; 8.100 ; 12.150 ; 122 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; guante desechable m ;  Chile Distribución  ; 1,50 ; caja ; 8.100 ; 12.150 ; 122 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; guante desechable L ;  Chile Distribución  ; 1,50 ; caja ; 8.100 ; 12.150 ; 122 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; Gorro desechable ; Delicias y mas SpA ; 0,30 ; pqte ; 1.947 ; 584 ; 6 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; Bolsa de basura ; Abraham Vilches ; 23,00 ; c/u ; 195 ; 4.485 ; 45 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; Escobillón ; Algarrobal ; 0,50 ; c/u ; 2.165 ; 1.083 ; 11 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; Pala plasticas ; Chile Distribución ; 0,50 ; c/u ; 899 ; 450 ; 5 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; Trapero ; Chile Distribución ; 1,50 ; c/u ; 950 ; 1.425 ; 15 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; Alusa plast ; Abraham Vilches ; 2,00 ; c/u ; 7.100 ; 14.200 ; 142 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; alusa foil ; Abraham Vilches ; 0,50 ; c/u ; 9.000 ; 4.500 ; 45 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; Detergente loza ; New Chem ; 1,50 ; lt ; 700 ; 1.050 ; 11 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; cloro ; Algarrobal ; 0,25 ; botella ; 760 ; 190 ; 2 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; Virutilla de olla fina ; Chile Distribución ; 0,50 ; c/u ; 174 ; 87 ; 1 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; virutilla antiadherente ; Comercial San Joaquin ; 1,00 ; c/u ; 851 ; 851 ; 9 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; virutilla de olla gruesa ; Chile Distribución ; 1,50 ; c/u ; 140 ; 210 ; 3 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; Caja de torta ; Delicias y mas SpA ; 4,00 ; c/u ; 1.100 ; 4.400 ; 44 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; Vasos desechables transparentes ; Delicias y mas SpA ; 90,00 ; c/u ; 41 ; 3.690 ; 37 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; toalla de papel rollo ; Coesmo ; 4,00 ; c/u ; 6.040 ; 24.160 ; 242 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; Pechera plastica ; Algarrobal ; 1,00 ; c/u ; 1.581 ; 1.581 ; 16 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; Pechera plástica desechable ; Algarrobal ; 0,50 ; c/u ; 930 ; 465 ; 5 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; Papel confort elite ; cambiar ; 1,00 ; c/u ; 223 ; 223 ; 3 ;Abarrotes;ARTICULO ASEO
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ;; Bolsa prepicada grande ; Abraham Vilches ; 0,15 ; kg ; 2.652 ; 398 ; 4 ;Abarrotes;ARTICULO ASEO
 ZAB ; AA-ARTICULOS DE BAÑO ;; Desodorante/Desinfectante ; Chile Distribución ; 4,00 ; tarro ; 1.895 ; 7.580 ; 76 ;Abarrotes;ARTICULOS BAÑO
 ZAB ; AA-ARTICULOS DE BAÑO ;; Elasticos negros ; Salcobrand ; 0,25 ; pqte ; 6.500 ; 7.580 ; 76 ;Abarrotes;ARTICULOS BAÑO
 ZAB ; AA-ARTICULOS DE BAÑO ;; Pastillas de menta arcor ; cambiar ; 0,50 ; bolsa ; 2.470 ; 1.625 ; 17 ;Abarrotes;ARTICULOS BAÑO
 ZAB ; AA-ARTICULOS DE BAÑO ;; Toallas higienicas donasept suave alas ; SalcoBrand ; 0,50 ; pqte ; 899 ; 1.235 ; 13 ;Abarrotes;ARTICULOS BAÑO
 ZAB ; AA-ARTICULOS DE BAÑO ;; Máquina de afeitar ; Salcobrand ; 0,50 ; pqte ; 882 ; 450 ; 5 ;Abarrotes;ARTICULOS BAÑO
 ZAB ; AA-ARTICULOS DE BAÑO ;; Pantys ; cambiar ; 0,50 ; c/u ; 690 ; 201 ; 3 ;Abarrotes;ARTICULOS BAÑO
 ZAB ; AA-ARTICULOS DE BAÑO ;; Costurero ; cambiar ; 0,15 ; c/u ; 1.340 ; 441 ; 5 ;Abarrotes;ARTICULOS BAÑO
 ZAB ; AA-ARTICULOS DE BAÑO ;; Pinches negros ; Salcobrand ; 0,25 ; pqte ; 521 ; 201 ; 3 ;Abarrotes;ARTICULOS BAÑO
 ZAB ; AA-ARTICULOS DE BAÑO ;; Quita esmalte ; Salcobrand ; 0,10 ; c/u ; 496 ; 130 ; 2 ;Abarrotes;ARTICULOS BAÑO
 ZAB ; AA-ARTICULOS DE BAÑO ;; Algodón redondo chico ; Salcobrand ; 0,10 ; c/u ; 445 ; 50 ; 1 ;Abarrotes;ARTICULOS BAÑO
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ;; Picrato de Butesin ; Salcobrand ; 0,10 ; c/u ; 6.020 ; 45 ; 1 ;Abarrotes;ARTICULOS BOTIQUIN
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ;; Aspirinas ; Salcobrand ; 0,20 ; caja ; 2.496 ; 602 ; 7 ;Abarrotes;ARTICULOS BOTIQUIN
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ;; Tabletas philiips ; Salcobrand ; 0,20 ; caja ; 2.269 ; 499 ; 5 ;Abarrotes;ARTICULOS BOTIQUIN
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ;; Parche curita nexcare ; Salcobrand ; 0,10 ; caja ; 2.491 ; 454 ; 5 ;Abarrotes;ARTICULOS BOTIQUIN
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ;; Cinta 3M ; Salcobrand ; 0,10 ; c/u ; 2.463 ; 249 ; 3 ;Abarrotes;ARTICULOS BOTIQUIN
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ;; Paracetamol ; Salcobrand ; 0,20 ; caja ; 1.004 ; 246 ; 3 ;Abarrotes;ARTICULOS BOTIQUIN
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ;; bialcohol ; Salcobrand ; 0,10 ; spray ; 1.471 ; 201 ; 3 ;Abarrotes;ARTICULOS BOTIQUIN
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ;; Povidona Yodada ; Salcobrand ; 0,10 ; c/u ; 474 ; 147 ; 2 ;Abarrotes;ARTICULOS BOTIQUIN
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ;; Termómetro ; Salcobrand ; 0,05 ; c/u ; 936 ; 47 ; 1 ;Abarrotes;ARTICULOS BOTIQUIN
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ;; pañuelo desechable ; Cencosud Retail ; 0,10 ; c/u ; 380 ; 47 ; 1 ;Abarrotes;ARTICULOS BOTIQUIN
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ;; Ibuprofeno ; Salcobrand ; 0,10 ; c/u ; 239 ; 38 ; 1 ;Abarrotes;ARTICULOS BOTIQUIN
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ;; antialérgico ; Salcobrand ; 0,10 ; c/u ; 164 ; 24 ; 1 ;Abarrotes;ARTICULOS BOTIQUIN
 ZAB ; AA-ARTICULOS PARA BOTIQUIN ;; Gasa ; Salcobrand ; 0,10 ; c/u ; 286 ; 16 ; 1 ;Abarrotes;ARTICULOS BOTIQUIN
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ;; Arveja Partida ; Fruton ; 2,000 ; kg ; 2.980 ; 5.560 ; 56 ;Masas;APERITIVO CALIENTE
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ;; cebolla ; Fruton ; 0,500 ; kg ; 690 ; 1.665 ; 17 ;Lácteos;APERITIVO CALIENTE
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ;; Jengibre fresco ; Fruton ; 0,100 ; kg ; 2.980 ; 249 ; 3 ;Abarrotes;APERITIVO CALIENTE
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ;; mantequilla ; Cabezas y cia ; 0,200 ; kg ; 8.391 ; 328 ; 4 ;Frutas/Verduras;APERITIVO CALIENTE
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ;; huevos ; MIGUEL FARIAS ; 10,000 ; c/u ; 240 ; 9.399 ; 94 ;Lácteos;APERITIVO CALIENTE
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ;; aceite ; Fruton ; 4,000 ; lt ; 3.450 ; 2.636 ; 27 ;Carnes;APERITIVO CALIENTE
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ;; cilantro ; Fruton ; 0,300 ; kg ; 1.980 ; 1.481 ; 15 ;Abarrotes;APERITIVO CALIENTE
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ;; camarón 36/40 ; Southwind ; 2,500 ; kg ; 7.700 ; 2.636 ; 27 ;Carnes;APERITIVO CALIENTE
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ;; Arvejas congeladas ; Fruton ; 1,000 ; kg ; 2.200 ; 1.481 ; 15 ;Abarrotes;APERITIVO CALIENTE
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ;; Aceite de dende ; Comon ; 1,000 ; lt ; 11.820 ; 1.481 ; 15 ;Abarrotes;APERITIVO CALIENTE
 AC10 ; AC- Buñuelos de centolla con bisque de camaron ;; Centolla ensalada ; Granja Marina ; 0,900 ; kg ; 43.000 ; 38.700 ; 387 ;Mariscos/Pescados;APERITIVO FRIO
 AC10 ; AC- Buñuelos de centolla con bisque de camaron ;; harina ; Delicias y mas SpA ; 0,180 ; kg ; 1.300 ; 234 ; 3 ;Abarrotes;APERITIVO FRIO
 AC10 ; AC- Buñuelos de centolla con bisque de camaron ;; huevos ; MIGUEL FARIAS ; 6,000 ; c/u ; 240 ; 1.440 ; 15 ;Frutas/Verduras;APERITIVO FRIO
 AC10 ; AC- Buñuelos de centolla con bisque de camaron ;; mantequilla ; Cabezas y cia ; 0,120 ; kg ; 8.391 ; 1.007 ; 11 ;Lácteos;APERITIVO FRIO
 AC10 ; AC- Buñuelos de centolla con bisque de camaron ;; aceite ; Fruton ; 0,840 ; lt ; 3.450 ; 2.898 ; 29 ;Abarrotes;APERITIVO FRIO
 AC10 ; AC- Buñuelos de centolla con bisque de camaron ;; Brochetas de 12 cm ; Delicias y mas SpA ; 0,600 ; pqte ; 790 ; 474 ; 5 ;Abarrotes;APERITIVO FRIO
