 LISTA_DE_INGREDIENTES ; TIPO DE INGREDIENTE ; UNID ;P.U.; OBSERVACIONES ; PROVEEDOR 
 Jengibre marinado ; Abarrotes ;frasco; 6.250 ; frasco de 227 grs ; Delicias y mas SpA 
 Jerez Tío Pepe ; Tragos ;botella; 8.983 ;; German García 
 Jerez zalamero ; Tragos ;botella; 5.266 ; bot. 750 cc ; CAMBIAR 
 Jugo cajita ; Abarrotes ;cajita; 163 ;; Comon 
 Jugo de manzana ; Bebidas ;botella; 678 ;; CCU 
 Jugo de naranja 2 lt ; Bebidas ;botella; 755 ; botella 2 lt ; Andina 
 Jugo de naranja en polvo ; Abarrotes ;kg; 1.450 ;; cambiar 
 Jugo de naranja sofruco ; Abarrotes ;botella; 1.617 ;; German García 
 Jugo de naranja Watts 1,5 lt ; Bebidas ;botella; 2.000 ;; CCU 
 Jugo de piña 2 lt ; Bebidas ;botella; 668 ; botella 2 lt ; Andina 
 Jugo de tomate ; Abarrotes ;lt; 1.740 ;;
 Jugo Naranja Watts de 1,5 lt  ; Bebidas ;botella; 812 ; caja 1,5 lt ; CCU 
 Jugo sobre  ; Abarrotes ;cu; 134 ;; cambiar 
 Jugo tetra de 1,5 lt variedades ; Bebidas ;botella; 503 ; caja 1,5 lt ; Andina 
 Kahlua ; Tragos ;botella; 9.789 ; 700 cc ; Distribuidora Errázuriz 
 kanikama ; Mariscos/Pescados ;kg; 3.200 ;; Cencosud Retail 
 Kebbab de cordero ; Comidas Opcionales (carros) ;c/u; 600 ;; Nezar Lama 
 Kebbab de pollo ; Carnes ;c/u; 600 ;; Nezar Lama 
 Ketchup ; Abarrotes ;kg; 2.936 ;; Fruton 
 Key lime pie ; Dulces/Tortas ;c/u; 31.933 ;; El Esfuerzo 
 Kiwi ; Frutas/Verduras ; kg ; 1.290 ;; Fruton 
 Knaffi ; Masas ;kg; 6.800 ;; Gastón Castillo 
 Kubbe Corvina ; Otras Comidas ;c/u; 600 ;; Nezar Lama 
 Kubbe Crudo ; Otras Comidas ;c/u; 495 ;; Nezar Lama 
 Kubbe frito ; Otras Comidas ;c/u; 570 ;; Nezar Lama 
 Kubbe relleno ; Otras Comidas ;c/u; 640 ;; Nezar Lama 
 Kubbe relleno con piñones ; Otras Comidas ;c/u; 640 ;; Nezar Lama 
 Kubbe relleno frito ; Otras Comidas ;c/u; 640 ;; Nezar Lama 
 kuchen de manzana streussel ; Dulces/Tortas ;c/u; 7.143 ;; Amarena 
 Kuchen de nuez ; Dulces/Tortas ;c/u; 8.782 ;; Amarena 
 Laban ; Otras Comidas ;c/u; 3.900 ;; Nezar Lama 
 Langosta canadiense 120 grs la und. ; Mariscos/Pescados ;c/u; 6.325 ;; Barbara Hurtado limitada 
 Langosta canadiense 120 grs la und. ; Mariscos/Pescados ;kg; 61.673 ;; Barbara Hurtado limitada 
 Langostas vivas 700 grs ; Mariscos/Pescados ;c/u; 14.000 ;; Soc. de servicios continental LTDA. 
 Langostas vivas 800 grs ; Mariscos/Pescados ;c/u; 16.000 ;; Soc. de servicios continental LTDA. 
 Langostas vivas 900 grs ; Mariscos/Pescados ;c/u; 17.000 ;; Soc. de servicios continental LTDA. 
 Laurel fresco ; Frutas/Verduras ; atado ; 800 ; mata 50 grs ; Comercial Valencia 
 Leche ; Lácteos ; lt ; 999 ;; Cabezas y cia 
 leche blanca ; Abarrotes ; kg ; 4.000 ;; Comercial dicalla 
 Leche chocolatada ; Lácteos ;cajita; 287 ;; cambiar 
 Leche condensada ; Abarrotes ;lata; 1.832 ; 395 grs. ; Cabezas y cia 
 Leche de coco ; Abarrotes ;lata; 2.200 ; 400 ml ; A Y R 
 Leche descremada ; Lácteos ;lt; 743 ;; SDA 
 Leche en polvo ; Lácteos ;kg; 4.044 ;; cambiar 
 Leche evaporada ; Abarrotes ;lata; 1.452 ; 410 grs. ; Cabezas y cia 
 Lechuga albert ; Frutas/Verduras ;kg; 2.620 ;; BioInvest 
 lechuga color ; Frutas/Verduras ;c/u; 245 ;; Agromarket 
 lechuga costina ; Frutas/Verduras ;unid; 980 ;; Fruton 
 Lechuga Escarola ; Frutas/Verduras ;c/u; 1.180 ;; Fruton 
 Lechuga Española ; Frutas/Verduras ;c/u; 590 ;; Fruton 
 Lechuga lollo rossa ; Frutas/Verduras ;c/u; 490 ;; Fruton 
 Lechuga lollobionda ; Frutas/Verduras ;c/u; 490 ;; Fruton 
 Lechuga Milanesa ; Frutas/Verduras ; c/u ; 690 ;; Fruton 
 Lecitina ; Abarrotes ; kg ; 9.319 ;; Farmacia 
 Lemon grass ; Frutas/Verduras ; kg ; 6.980 ;; Fruton 
 Lemonchelo ; Abarrotes ; botella ; 8.560 ;; German García 
 Lenguado ; Mariscos/Pescados ; kg ; 6.600 ;; Mar exprees 
 Lenguas de machas ; Mariscos/Pescados ; kg ; 32.000 ;; congelados vv spa 
 Lentejas peladas ; Abarrotes ;;;;
 Lentejas rojas ; Abarrotes ;kg; 4.700 ;; cambiar 
 Levadura fresca ; Abarrotes ;kg; 2.512 ; 500 gramos ; cambiar 
 Levadura seca ; Abarrotes ;pqte; 2.990 ; 500 gramos ; Comon 
 Licor de café Bols ; Tragos ;botella; 1.812 ;; Distribuidora Errázuriz 
 Licor de menta ; Tragos ;botella; 2.118 ;; Distribuidora Errázuriz 
 Limón ; Frutas/Verduras ;kg; 1.590 ;; Fruton 
 Limón de pica ; Frutas/Verduras ;kg; 3.690 ;; Fruton 
 Limon soda ; Bebidas ;botella; 638 ; 1,5 lts. ;
 Limon sutil ; Frutas/Verduras ;kg; 2.490 ;; Fruton 
 Limón tahiti ; Frutas/Verduras ;kg; 1.150 ;; Fullvallis 
 Locos  ; Mariscos/Pescados ;kg; 28.000 ;; Southwind 
 Lomo de albacora ; Mariscos/Pescados ;kg; 5.490 ;; Deli food 
 Lomo de cabrito ; Carnes ;kg;;; Comercial Chau 
 Lomo de cerdo ; Carnes ;kg; 5.330 ;; Comercial Chau 
 Lomo de ciervo ; Carnes ;kg; 12.980 ;; Comercial Chau 
 Lomo de cordero ; Carnes ;kg; 19.500 ;; Granja Marina 
 Lomo liso porcionado wagyu ; Carnes ;kg; 12.990 ;; Comercial Chau 
 lomo liso vacuno ; Carnes ;kg; 8.998 ;; Delicias y mas SpA 
 lomo vetado  ; Carnes ;kg; 11.168 ;; Delicias y mas SpA 
 Lomo vetado de wagyu porcionado ; Carnes ;kg; 12.990 ;; Comercial Chau 
 Longanizas ; Carnes ;kg; 8.620 ;; Pallet Steak 
 Longanizas escudero ; Carnes ;kg; 4.165 ;; Comercial Chau 
 Lumache gigante ; abarrotes ;Bolsa; 2.490 ; 500 gr ; Globe Italia 
 LYCHEES ; abarrotes ;tarro; 2.590 ; 570 GRS ; Fruton 
 Chubi ; Abarrotes ;c/u; 158 ;; Delicias y mas SpA 
 Macarrones ; Dulces/Tortas ;c/u; 330 ;; Bon Macarron 
 Machas en tarro ; Mariscos/Pescados ;tarro; 1.100 ;; Cencosud Retail 
 Machas lengua precocidas ; Mariscos/Pescados ;kg; 32.000 ; sin estómago ; congelados vv spa 
 Machas limpias con estómago ; Mariscos/Pescados ;kg; 32.000 ;; congelados vv spa 
 Maicena ; Abarrotes ;kg; 1.990 ;; Fruton 
 Maiz cancha ; Abarrotes ;kg; 6.990 ;; Delicias y mas SpA 
 Maki de atún ; Otras Comidas ;c/u; 250 ;; Camila Vivanco 
 Maki de salmón ; Otras Comidas ; c/u ; 250,00 ;; Camila Vivanco 
 mama juana ; Tragos ;botella; 25.000 ;;
 Mandarina ; Frutas/Verduras ;kg; 1.790 ;; Fruton 
 Mandarinas caramelizadas ; Dulces/Tortas ;c/u; 140 ;; Adriana Moreno 
 Mango    ; Frutas/Verduras ;tarro; 4.090 ; 230 grs drenado ; Delicias y mas SpA 
 Mango fresco ; Frutas/Verduras ;kg; 1.980 ;; Fruton 
 Mango Trozo ; Frutas/Verduras ;kg; 3.890 ;; Fruton 
 Maní ; Abarrotes ;kg; 2.793 ;; Delicias y mas SpA 
 Maní salado ; Abarrotes ;kg; 2.200 ;; Tres Valles Spa 
 Manjar ; Abarrotes ;kg; 3.900 ;; MIGUEL FARIAS 
 Mankaki ; Frutas/Verduras ;kg; 890 ;; Agromarket 
 manteca ; Abarrotes ; kg ; 3.390 ; crucina de 1 kg ; Fruton 
 mantequilla ; Lácteos ; kg ; 8.391 ;; Cabezas y cia 
 mantequilla sin sal ; Lácteos ;kg; 5.056 ;; U y V 
 Mantequilla de maní ; Abarrotes ;kg; 5.929 ;; Delicias y mas SpA 
 Manzana roja ; Frutas/Verduras ; kg ; 1.290 ; 5 unid x kilo-fuji ; Fruton 
 Manzana verde ; Frutas/Verduras ; kg ; 890 ;; Fruton 
 Manzanas confitadas ; Otras Comidas ;c/u; 1.800 ;; Sweet Dreams 
 Máquina de afeitar ; Abarrotes ;pqte; 882 ; 2 unidades ; Salcobrand 
 Maquina de café ; Otras Comidas ; c/u ; -   ;; Bodega 
 Maracuyá ; Frutas/Verduras ; kg ; 2.900 ;; Piedra y Piedra 
 Margarina ; Lácteos ;kg; 1.549 ;; cambiar 
 Marlboro light ; Otras Comidas ;c/u; 1.700 ;; Cencosud Retail 
 Marlboro light ; Otras Comidas ;c/u; 1.700 ;; Cencosud Retail 
 Marlboro Rojo ; Otras Comidas ;c/u; 1.700 ;; Cencosud Retail 
 Marlboro Rojo ; Otras Comidas ;c/u; 1.700 ;; Cencosud Retail 
 Marraqueta ; Pan ;kg; 1.076 ;; Deli Meals 
 Marrasquino ; Abarrotes ;frasco; 3.537 ; frasco de 1,1kg ; Centro Abasto 
 Marrón glasé ; Dulces/Tortas ;c/u; 1.050 ; 50 grs. c/u ; Carmelita Ossa 
 Marshmallow ; Abarrotes ;bolsa; 2.900 ;; A Y R 
 Martini blanco ; Tragos ;botella; 2.860 ;; Escocia 
 Martini dry ; Tragos ; botella ; 5.016 ;; Escocia 
 Masa de arrollado primavera ; Masas ;c/u; 2.016 ; 55 por paquete ; Cencosud Retail 
 Masa de gyosa ; Masas ; pqte ; 1.730 ;; cambiar 
 Masa de hoja ; Masas ;kg; 5.780 ; 60 x 40 cm. ; Gastón Castillo 
 Masa de hoja de chocolate ; Masas ;kg; 6.000 ;; Gastón Castillo 
 Masa de lasaña azafrán ; Masas ;kg; 5.780 ;; Gastón Castillo 
 Masa de lasaña blanca ; Masas ;kg; 5.780 ; 32*16 cm ; Gastón Castillo 
 Masa de lasaña de chocolate ; Masas ;kg; 5.000 ; 32*16 cm ; Gastón Castillo 
 Masa de lasaña negra ; Masas ;kg; 6.500 ; 32*16 cm ; Gastón Castillo 
 Masa de lasaña roja ; Masas ;kg; 1.350 ;; Gastón Castillo 
 Masa de lasaña verde ; Masas ;kg; 6.300 ; 32*16 cm ; Gastón Castillo 
 Masa de Spring roll 25*25 ; Masas ;pqte; 6.290 ; 50 unid x pqte ; Delicias y mas SpA 
 Masa de tacos ; Masas ;c/u; 120 ;; cambiar 
 Masa de tacos ; Masas ;pqte; 1.200 ; pqte de 10 unidades ; cambiar 
 Masa de wang tang 17*17 ; Masas ;pqte; 1.880 ; 30 unid ; Gastón Castillo 
 Masa de wang tang 9.5*9.5 ; Masas ; pqte ; 1.710 ; 30 unidades ; Gastón Castillo 
 Masa filo ; Masas ;kg; 6.400 ;; Gastón Castillo 
 Masa lasaña callampas ; Masas ; kg ; 7.000 ;; Gastón Castillo 
 Masarín de cordero ; Otras Comidas ;unid; 980 ;; Nezar Lama 
 Mascarilla ; Abarrotes ;caja; 2.190 ; 50 unidades ; Chile Distribución 
 Mayonesa hellmanns  ; Abarrotes ;kg; 3.650 ; bolsa de 1 kg ; MIGUEL FARIAS 
 Mayonesa hellmanns VEGANA ; Abarrotes ;kg; 1.366 ; hellmanns light ; Delicias y mas SpA 
 Mazapanes ; Dulces/Tortas ;rollo; 3.345 ;; mazapanchito 
 Melón calameño ; Frutas/Verduras ;c/u; 1.790 ;; Fruton 
 Melón tuna ; Frutas/Verduras ;c/u; 1.790 ;; Fruton 
 Membrillo ; Frutas/Verduras ;kg; 2.250 ;; Agromarket 
 Menta ; Frutas/Verduras ;kg; 3.980 ;; Fruton 
 Menu kosher ; Otras Comidas ;c/u; 35.000 ;; Guity Schwarcz 
 Merengue ; Abarrotes ;pqte; 1.350 ; 3 discos ; Carmelita Ossa 
 Merengue champiñones ; Abarrotes ;c/u; 150 ;; Carmelita Ossa 
 Merengues cajón ; Dulces/Tortas ;unid; 2.101 ;; Dulcería Montolín 
 Merken ; Abarrotes ;kg; 4.097 ;; Comon 
 Merluza austral ; Mariscos/Pescados ;kg; 6.800 ;; Southwind 
 Mermelada de damasco ; Abarrotes ;kg; 3.364 ;; Delicias y mas SpA 
 Mermelada de de guinda ; Abarrotes ;kg; 3.364 ;; Delicias y mas SpA 
 Mermelada de de mora ; Abarrotes ;kg; 3.364 ;; Delicias y mas SpA 
 Mermelada de frambuesa ; Abarrotes ;kg; 3.364 ;; Delicias y mas SpA 
 Mermelada de frutilla ; Abarrotes ;kg; 3.364 ;; Delicias y mas SpA 
 Mermelada de naranja ; Abarrotes ;kg; 3.364 ;; cambiar 
 Mermelada de ruibarbo ; Abarrotes ;kg; 15.980 ;; Delicias y mas SpA 
 Mero  ; Mariscos/Pescados ;kg; 8.900 ;; Southwind 
 Miel ; Abarrotes ;kg; 3.980 ;; Fruton 
 Miel de lavanda ; abarrotes ;kg; 4.500 ;; cambiar 
 Miel de palma ; Abarrotes ;lata; 2.587 ; lata 240 gr ; Comercial San Joaquin 
 Mijo cocido ; Otras Comidas ;c/u; -   ;; cambiar 
 Mini Eclairs ; Dulces/Tortas ;c/u; 748 ;; El Esfuerzo 
 Mini tejas ; Otras Comidas ;c/u; 117 ;; Ursula 
 Mirín vino dulce de arroz ; Otras Comidas ;ltr.; 7.868 ;; cambiar 
 Mizuna ; Frutas/Verduras ; kg ; 3.980 ;; Fruton 
 Mollejas de cerdo ; Carnes ;kg; 12.000 ;; Pallet Steak 
 Mondadientes ; Abarrotes ;pqte; 600 ; 100 unid ; Delicias y mas SpA 
 Mora congelada ; Frutas/Verduras ;kg; 5.500 ;; Congefruits 
 Morillas ; Frutas/Verduras ;kg; 200.000 ;; Piedra y Piedra 
 Mostacilla de chocolate ; Abarrotes ;kg; 689 ;; Deli Meals 
 Mostaza a la antigua ; Abarrotes ;kg; 2.500 ; frasco 220 grs ; A Y R 
 Mostaza amarilla entera ; Abarrotes ;kg; 2.215 ;; Gudland 
 Mostaza Dijon ; Abarrotes ;kg; 6.715 ; frascos de 850 cc ; Delicias y mas SpA 
 Mostaza Hellmans ; Abarrotes ;kg; 2.149 ;; Delicias y mas SpA 
 Mote ; Abarrotes ;kg; 2.600 ;; MIGUEL FARIAS 
 Mouse de foie gras ; Abarrotes ;kg; 27.500 ;; inv. Chilart 
 Moztacillas de colores ; Abarrotes ;kg; 1.750 ;; cambiar 
 Muffin de amapola y limón ; Dulces/Tortas ;unid; 337 ;; Amarena 
 Muffin de arándanos ; Dulces/Tortas ;unid; 300 ;; Amarena 
 Muffin de chocolate ; Dulces/Tortas ;unid; 300 ;; Amarena 
 Muffin de plátano con nueces y canela ; Dulces/Tortas ;unid; 300 ;; Amarena 
 Murtillas ; Frutas/Verduras ;kg; 3.190 ;; Agromarket 
 Nabo ; Frutas/Verduras ;unid; 2.790 ; 2400 el kilo (1 unidad aprox) ; Fruton 
 Namura ; Otras Comidas ;c/u; 130 ;; Nezar Lama 
 Naranjas acarameladas ; Dulces/Tortas ;unid; 140 ;; Adriana Moreno 
 Naranjas jugo ; Frutas/Verduras ;kg; 1.690 ;; Comercial Valencia 
 Negritos /castaña ; Dulces/Tortas ;c/u; 980 ;; Daniel Gelferstein 
 nigiri atún ; Otras Comidas ;c/u; 340 ;; Camila Vivanco 
 nigiri camarón ; Otras Comidas ;c/u; 260 ;; Camila Vivanco 
 nigiri salmón ; Otras Comidas ;c/u; 260 ;; Camila Vivanco 
 Nordic ginger ale ; Bebidas ;botella; 771 ; 1,5 lts. ; German García 
 Nordic tonica ; Bebidas ;botella; 771 ;; Andina 
 Nori ; Abarrotes ;pqte; 14.690 ; 100 hojas por pqte ; cambiar 
 Nuez mariposa ; Abarrotes ;kg; 11.200 ;; Tres Valles Spa 
 Nuez moscada en polvo ; Abarrotes ;kg; 26.990 ;; Fruton 
 Nuez partida ; Abarrotes ;kg; 8.900 ;; MIGUEL FARIAS 
 nugget de pollo ; Carnes ;kg; 4.830 ;; Delicias y mas SpA 
 Ñoquis  ; Otras Comidas ;BANDEJA; 1.705 ; 500GR ; glove italia 
 Ñoquis verdes rellenos con queso cabra ; Otras Comidas ;c/u; 30 ;; Renato 
 Oil fish ; Abarrotes ;kg; 6.000 ;; Packets 
 Ojo de bife ; Carnes ;kg; 4.098 ; lomo vetado 250 a 300 grs c/u ; Comercial Chau 
 Operador cordero al palo ; Comidas Opcionales (carros) ;c/u; 75.000 ; 75000 x cordero ; alejandro 
 Oporto ; Vinos ; botella ; 5.512 ; 750 ml. ; CAMBIAR 
 Orégano ; Abarrotes ; kg ; 3.900 ;; Fruton 
 Osobuco centro de vacuno ; Carnes ; kg ; 3.980 ;; Comercial Chau 
 Osobuco de wagyu ; Carnes ; kg ; 1.998 ;; Comercial Chau 
 Ostión sin coral ; Mariscos/Pescados ; kg ; 7.200 ;; Southwind 
 Ostión sin coral picado ; Mariscos/Pescados ; kg ; 14.000 ;; Southwind 
 Ostiones A ; Mariscos/Pescados ; kg ; 10.000 ;; Southwind 
 Ostiones B ; Mariscos/Pescados ; kg ; 8.790 ; 20 und x kilo ; Southwind 
 Ostiones C ; Mariscos/Pescados ; kg ; 17.000 ; 50*kg ; Southwind 
 Ostras chicas ; Mariscos/Pescados ; c/u ; 280 ;; la otra spa 
 Ostras exportación ; Mariscos/Pescados ; c/u ; 450 ;; la otra spa 
 Ostras medianas ; Mariscos/Pescados ;c/u; 350 ;; Gourmar 
 Paccheri giganti ; Abarrotes ;pqte; 4.290 ; pqte de 500 gr ; Gourmet Italia 
 Pajitas blancas ; Abarrotes ;pqte; 1.250 ; 50 unid x pqte ; Delicias y mas SpA 
 Pala plasticas ; Abarrotes ;c/u; 899 ;; Chile Distribución 
 Paleta de cabrito ; Carnes ;kg; 3.980 ;; Comercial Chau 
 Paletas de dulce ; Otras Comidas ;c/u; 500 ; grande ; Deli churros 
 Paletas niños ; Abarrotes ;c/u; 123 ; medianas ; cambiar 
 Paletas niños chicas ; Abarrotes ;c/u; 80 ; chicas ; cambiar 
 Palillo ; Abarrotes ;kg; 3.493 ;; cambiar 
 Palitos de sushi ; Abarrotes ;pqte; 24 ; 100 pares ; Delicias y mas SpA 
 Palmitos ; Abarrotes ;lata; 4.570 ; 500 grs drenados ; Delicias y mas SpA 
 Palta envasada ; Abarrotes ;kg; 2.400 ; equivale a 1,5 kg de palta hass ; Comercializadora novaverde 
 Palta hass ; Frutas/Verduras ;kg; 4.000 ;; Palta royal 
 Pan aceituna ; Pan ;c/u; 60 ;; New york bakery 
 Pan Amapola y nuez ; Pan ;kg; 1.420 ;; cambiar 
 Pan Amasado ; Pan ;c/u; 150 ;; Deli Meals 
 Pan Bagels ; Pan ;c/u; 245 ;; Le fournil 
 Pan Baguette ; Pan ;c/u; 924 ;; Deli Meals 
 Pan centeno y nuez ; Pan ;c/u; 572 ;; Le fournil 
 pan ciabatta aceituna ; Pan ;c/u; 63 ;; Deli meals 
 Pan Ciabatta grande  ; Pan ;kg; 1.632 ; caja de 50 unid. 7,5 kg ; Breden Master 
 Pan Ciabatta media ; Pan ;c/u; 49 ;; Deli Meals 
 Pan cotidiano ; Pan ;c/u; 67 ; del porte del pan de mesa mediano  ; Le Fournil 
 Pan de Croisant ; Pan ;c/u; 171 ;; Deli Meals 
 Pan de hoja ; Pan ;c/u; 94 ; 30 unid *kg ????? ; Deli Meals 
 pan fougasse ; Pan ;c/u; 448 ;; Deli Meals 
 pan fougasse integral ; Pan ;c/u; 504 ;; Le Fournil 
 pan media frica ; Pan ;c/u; 132 ;; El Esfuerzo 
 Pan Grisini blanco ; Pan ;c/u; 42 ;; Le fournil 
 Pan Grisini de finas hierbas ; Pan ;c/u; 138 ;; Le fournil 
 Pan grisinni  15 cm sabores ; Pan ;c/u; 63 ;; Deli meals 
 Pan guagua ; Pan ;kg; 4.980 ;; MIGUEL FARIAS 
 Pan guagua integral ; Pan ;kg; 1.940 ; 35 tajadas x unid ; Deli Meals 
 Pan hot dog ; Pan ;KG; 970 ; 16-17 UNID * KG ; Deli Meals 
 Pan mini hot dog ; Pan ;c/u; 150 ;; New york bakery 
 pan ITALIANO TOMATE 11*15 ; Pan ;c/u; 504 ;; Le Fournil 
 Pan media frica ; Pan ;c/u; 122 ;; Deli Meals 
 Pan mesa variedades ; Pan ;c/u; 150 ;; El Esfuerzo 
 Pan negro ; Pan ;c/u; 120 ;; New york bakery 
 Pan pannini ; Pan ;c/u;;;
 Pan petit baguette blanco ; Pan ;c/u; 70 ;; Deli meals 
 Pan petit baguette integral ; Pan ;c/u; 71 ;; Deli meals 
 Pan pita chico ; Pan ;c/u; 145 ;; Nezar Lama 
 Pan pita grande ; Pan ; c/u ; 200 ; 1150 los 6 ; Centro Abasto 
 Pan rallado ; Pan ;kg; 2.400 ;; Fruton 
 Pan SÉSAMO ; Pan ;c/u; 60 ;; El Esfuerzo 
 Pan tapadito redondo ; Pan ;c/u; 68 ;; El Esfuerzo 
 Pan tapadito ovalado ; Pan ;c/u; 68 ;; El Esfuerzo 
 Pan tapadito hojaldre ; Pan ;c/u; 80 ;; El Esfuerzo 
 Pan vino y nuez ; Pan ;c/u; 639 ;; Le Fournil 
 Pana de pollo ; Carnes ;kg; 1.600 ;; Delicias y mas SpA 
 Pana de vacuno ; Carnes ;kg; 1.398 ;; Pallet Steak 
 Paneer ; Abarrotes ;kg;;;
 Panko ; Abarrotes ;kg; 4.150 ;; Fruton 
 Pantys ; Abarrotes ;c/u; 690 ; Caffarena musk clasic ; cambiar 
 Paño amarillo limpieza (danzarina) ; Abarrotes ;c/u; 417 ;; cambiar 
 Paños de cocina ; Abarrotes ;c/u; 250 ;; cambiar 
 Pañuelo desechable ; Abarrotes ;c/u; 380 ;; Cencosud Retail 
 Papa apio ; Frutas/Verduras ;kg; 2.990 ;; Agromarket 
 Papa hinojo ; Frutas/Verduras ;kg; 3.250 ;; Agromarket 
 Papa semillón ; Frutas/Verduras ;kg; 790 ;; Fruton 
 Papardelle callampa ; Masas ;kg; 1.980 ;; Tutta Pasta 
 Papas ; Frutas/Verduras ; kg ; 890 ;; Fruton 
 Papas cepilladas ; Frutas/Verduras ; kg ; 890 ;; Fruton 
 Papas duquesas  ; Abarrotes ;kg; 2.290 ;; Fruton 
 Papas fritas ; Abarrotes ;bolsa; 2.390 ; marcopolo ; Delicias y mas SpA 
 Papas fritas congeladas ; Abarrotes ;bolsa; 5.500 ; 2,5 kg * bolsa 12 porciones ; Fruton 
 Papas fritas congeladas CON PIEL ; Abarrotes ;bolsa; 1.960 ; 2,5 kg * bolsa 12 porciones ; Fruton 
 Papas gigantes 600 grs aprox c/u ; Frutas/Verduras ;kg; 600 ;; Agromarket  
 Papas Grisette ; Frutas/Verduras ; kg ; 4.250 ;; Fruton 
 Papas medianas ; Frutas/Verduras ; kg ; 890 ;; Fruton 
 Papas Moradas chilotas ; Frutas/Verduras ; kg ; 3.590 ;; Fruton 
 Papas nuevas ; Frutas/Verduras ;kg; 430 ;; Fruton 
 Papas peladas ; Frutas/Verduras ;kg; 1.200 ; 5 uni x kg ; Fruton 
 Papas prefritas ; Abarrotes ;kg; 2.200 ; bolsa de 2,5kg ; Fruton 
 Papas rellenas ; Abarrotes ; unid ; 405 ;; Nezar Lama 
 Papas semillas ; Frutas/Verduras ; kg ; 430 ;; Agromarket 
 Papas TIKA ; Frutas/Verduras ; kg ; 11.722 ;; Deli Meals 
 Papas topinambur ; Frutas/Verduras ;kg; 4.000 ;; Comercial Valencia 
 Papayas ; Frutas/Verduras ;c/u; 189 ;; Piedra y Piedra 
 Papayas al jugo ; Abarrotes ;tarro; 6.350 ; 1 KG ; MIGUEL FARIAS 
 Papayas al jugo en tarro  ; Abarrotes ;Frasco 500c fil; 6.350 ;; MIGUEL FARIAS 
 Papel antigrasa ; Abarrotes ;caja/500; 5.000 ;; cambiar 
 Papel confort elite ; Abarrotes ;c/u; 223 ;; cambiar 
 Papel de arroz ; Abarrotes ;c/u; 53 ;; cambiar 
 Papel higienico rollo ; Abarrotes ;rollo; 3.385 ; doble hoja 250 mt ; coesmo 
 Papel mantequilla ; Abarrotes ;pliego; 79 ;; cambiar 
 Paprika  ; Abarrotes ;kg; 1.860 ;; cambiar 
 Paprika dulce ; Abarrotes ;kg; 1.860 ;; cambiar 
 Paracetamol ; Abarrotes ;caja; 1.004 ; 24 tabletas ; Salcobrand 
 Parche curita nexcare ; Abarrotes ;caja; 2.491 ; 30 unidades ; Salcobrand 
 Parfait de mandarinas ; Dulces/Tortas ;unid; 12.605 ; 15 pax ; El Esfuerzo 
 Parfait de nuez ; Dulces/Tortas ;unid; 14.900 ; 15 pax ; Carmelita Ossa 
 Pasas corinto ; Abarrotes ;kg; 1.950 ;; cambiar 
 Pasas morenas ; Abarrotes ;kg; 2.600 ;; Tres Valles Spa 
 Pasas rubias ; Abarrotes ;kg; 3.500 ;; Tres Valles Spa 
 Pasta de Berenjenas ; Otras Comidas ;kg; 7.600 ;; Nezar Lama 
 Pasta de tamarindo ; Abarrotes ;botella; 3.890 ; Botella de 400 cc ; cambiar 
 Pasta de tartufo HO3001 ; Abarrotes ;frasco; 18.900 ; frasco de 180 gr ; Globe Italia 
 Pasta miso ; Abarrotes ; kg ; 6.607 ;; cambiar 
 Pastelera choclo ; Frutas/Verduras ; kg ; 2.750 ;; Fruton 
 Pastillas de menta arcor ; Abarrotes ;bolsa; 2.470 ; pqte de 935 grs ; cambiar 
 Pastrami ; Carnes ;kg; 13.820 ;; Piedra y Piedra 
 Patas de cerdo ; Carnes ;kg; 498 ;; Comercial Chau 
 Paté de ternera ; Carnes ; kg ;;; Cencosud Retail 
 Pato desmenuzado ; Carnes ; kg ; 63.600 ;; Granja Marina 
 Pato entero Muscovy ; Carnes ; kg ; 3.198 ;; ? 
 Pavlova de berries ; Dulces/Tortas ; unid ; 29.412 ;; El Esfuerzo 
 Pavo ; Carnes ; kg ; 2.008 ;; Pallet Steak 
 Pechera plastica ; Abarrotes ; c/u ; 1.581 ;; Algarrobal 
 Pechera plástica desechable ; Abarrotes ; c/u ; 930 ; bolsas de 10 unid ; Algarrobal 
 Pechuga de ganso ; Carnes ;kg; 10.980 ;; Comercial Chau 
 Pechuga de pato deshuesada ; Carnes ;kg; 28.500 ; magré ; Granja Marina 
 Pechuga de pavo deshuesada ; Carnes ;kg; 10.598 ;; Pallet Steak 
 Pechuga de pavo entera ; Carnes ;kg; 11.000 ;; Comercial Chau 
 Pechuga de pollo Ahumado ; Carnes ;kg; 2.998 ;; Comercial Chau 
 Pechuga de pollo con hueso ; Carnes ; kg ; 1.898 ;; Pallet Steak 
 Pechuga de pollo deshuesada ; Carnes ; kg ; 4.598 ;; Pallet Steak 
 Pechuga de pollo rellena jamon queso ; Carnes ;c/u; 990 ;; Delicias y mas SpA 
 Penne rigate ; Abarrotes ; kg ; 1.000 ;; Tottus 
 Pepinillos ; Frutas/Verduras ;kg; 3.980 ;; Fruton 
 Pepino Ensalada ; Frutas/Verduras ;c/u; 790 ;; Comercial Valencia 
 Pepino fruta ; Frutas/Verduras ;kg; 3.000 ;; Comercial Valencia 
 Pepperonni ; Carnes ;kg;;;
 Pepsi ; Bebidas ;botella; 594 ; botella de 1,5 lt ; CCU 
